seg,power,vo2,cad,la,rf,hr,sat
1177,260,3150.5,94,4.4837,27.425,151.5,97
1178,260,3385.6,93,4.5013,26.549,151.0,97
1179,260,3417.8,93,4.519,26.849,152.5,97
1180,260,3449.9,94,4.5367,27.149,154.0,97
1181,260,3336,92,4.5543,25.675,154.0,97
1182,260,3222.1,92,4.572,24.201,154.0,97
1183,260,3108.2,93,4.5897,22.727,154.0,98
1184,260,3518.9,91,4.6073,26.67,152.0,97
1185,260,3929.5,90,4.625,30.612,150.0,98
1186,260,3896.3,91,4.6427,31.264,152.0,98
1187,260,3863.1,92,4.6603,31.915,154.0,97
1188,260,3817.8,93,4.678,32,154.5,98
1189,260,3772.4,95,4.6957,32.086,155.0,97
1190,260,3383.9,95,4.7133,30.261,155.0,97
1191,260,2995.3,95,4.731,28.436,155.0,97
1192,260,2938.2,96,4.7487,29.218,155.0,97
1193,260,2881.1,96,4.7663,30,155.0,97
1194,260,3066.1,95,4.784,31.854,157.5,98
1195,260,3251.1,93,4.8017,33.708,160.0,98
1196,260,3586.6,92,4.8193,31.414,161.0,98
1197,260,3467,92,4.837,30.376,159.0,98
1198,260,3347.5,91,4.8547,29.339,157.0,98
1199,260,3227.9,91,4.8723,28.302,155.0,98
1200,260,3434.4,90,4.89,28.785,155.5,98
1201,260,3640.8,90,4.9063,29.268,156.0,98
1202,260,3498.9,90,4.9227,26.929,156.5,98
1203,260,3357,90,4.939,24.59,157.0,98
1204,260,3168.6,91,4.9553,26.858,158.5,98
1205,260,2980.3,90,4.9717,29.126,160.0,98
1206,260,3317,90,4.988,30.188,160.0,98
1207,260,3653.7,91,5.0043,31.25,160.0,98
1208,260,3551.9,91,5.0207,29.018,157.5,98
1209,260,3450.2,91,5.037,26.786,155.0,98
1210,260,3280.2,90,5.0533,26.826,153.7,97
1211,260,3110.1,89,5.0697,26.866,152.3,97
1212,260,2940.1,88,5.086,26.906,151.0,97
1213,260,3435.2,87,5.1023,32.258,154.0,97
1214,260,3610.6,86,5.1187,34.422,154.0,97
1215,260,3786,85,5.135,36.585,154.0,97
1216,260,3660,87,5.1513,33.757,154.5,97
1217,260,3534,88,5.1677,30.928,155.0,98
1218,260,3486.8,89,5.184,31.947,154.0,97
1219,260,3439.6,92,5.2003,32.967,153.0,97
1220,260,3359.8,91,5.2167,31.947,151.5,97
1221,260,3280.1,90,5.233,30.928,150.0,98
1222,260,2909.8,90,5.2493,38.71,152.0,97
1223,260,3201.6,89,5.2657,37.988,153.5,98
1224,260,3493.3,91,5.282,37.267,155.0,98
1225,260,3910.7,93,5.2983,41.667,155.0,98
1226,260,3548.4,93,5.3147,38.075,155.0,98
1227,260,3186.1,93,5.331,34.483,155.0,98
1228,260,3143.6,93,5.3473,33.114,156.0,98
1229,260,3101.2,92,5.3637,31.746,157.0,97
1230,260,3266.5,91,5.38,30.798,157.0,97
1231,260,3431.8,92,5.3963,29.851,157.0,97
1232,260,3456.3,92,5.4127,27.271,157.0,97
1233,260,3480.8,92,5.429,24.691,157.0,97
1234,260,3187.5,92,5.4453,23.528,156.7,97
1235,260,2894.2,92,5.4617,22.365,156.3,97
1236,260,2601,93,5.478,21.201,156.0,97
1237,260,3083.2,93,5.4943,24.886,156.0,97
1238,260,3565.4,93,5.5107,28.571,156.0,97
1239,260,3632.1,95,5.527,28.778,156.5,97
1240,260,3698.8,96,5.5433,28.986,157.0,97
1241,260,3626.9,95,5.5597,29.199,157.0,97
1242,260,3555,95,5.576,29.412,157.0,97
1243,260,3551.3,95,5.5923,28.867,157.0,97
1244,260,3547.6,96,5.6087,28.322,157.0,97
1245,260,3543.9,96,5.625,27.778,157.0,97
1246,260,3504.3,96,5.6413,26.989,156.0,97
1247,260,3464.6,95,5.6577,26.201,155.0,97
1248,260,3526.9,95,5.674,27.185,155.0,97
1249,260,3589.3,97,5.6903,28.169,155.0,97
